# BorASM release notes history
# Format: YYYY-MM-DD HH:MM:SS +ZZZZ | vMAJOR.MINOR.PATCH | commit message

2025-10-15 06:29:48 +0200 | vunknown | Initial commit
2025-10-15 06:36:25 +0200 | vunknown | Add ASCII art and version information to README.md
2025-10-15 06:40:48 +0200 | vunknown | Add initial project files including CMakeLists and main source code
2025-10-16 19:07:56 +0200 | vunknown | Add spdlog library and build script
2025-10-16 19:26:25 +0200 | vunknown | Add CMake configuration and sample tests for BorASM project
2025-10-16 19:32:11 +0200 | vunknown | Update binary names to include architecture suffix (.x64) in CMake and build scripts
2025-10-16 19:55:04 +0200 | vunknown | Add initial project files, formatting script, and style configuration
2025-10-16 20:28:05 +0200 | v0.1.0 | Implement version management and command-line argument parsing
2025-10-16 20:47:46 +0200 | v0.1.0 | Add command-line argument parsing functionality and update help/version methods
2025-10-16 20:58:36 +0200 | v0.1.0 | Refactor command-line argument parsing and help/version output in CmdArgumentsParser
2025-10-16 21:02:39 +0200 | v0.1.0 | Add ArgumentsParserLogic class and update CMakeLists to include new source file
2025-10-16 21:18:36 +0200 | v0.1.0 | Add cpplint_check script to enforce coding style for C++ files
2025-10-18 09:21:45 +0200 | v0.1.0 | Implement ArgumentsParserLogic class and integrate it into CmdArgumentsParser for improved command-line argument handling
2025-10-18 09:27:15 +0200 | v0.1.0 | Enhance ListAvailableInstructions method to display detailed instruction set
2025-10-18 09:37:36 +0200 | v0.1.0 | Add unit tests for ArgumentsParserLogic to verify help output
2025-10-18 09:46:48 +0200 | v0.1.0 | Refactor help message retrieval in ArgumentsParserLogicTest for improved readability and maintainability
2025-10-18 10:10:20 +0200 | v0.1.0 | Add support for building and running unit tests in build_all.sh
2025-10-18 10:24:53 +0200 | v0.1.0 | Enhance debug mode functionality and add version output test cases
2025-10-18 10:27:21 +0200 | v0.1.0 | Add logging for input and output file name retrieval in ArgumentsParserLogic
2025-10-20 12:34:55 +0200 | v0.1.0 | Change Parse method return type to bool and update main function to handle command line arguments
2025-10-20 12:57:25 +0200 | v0.1.0 | Add CmdArguments and BorAsm classes, update argument parsing logic
2025-10-20 13:03:52 +0200 | v0.1.0 | Validate input and output file options in CmdArgumentsParser
2025-10-20 13:18:28 +0200 | v0.1.0 | Add utility functions for colored console messages and update CmdArgumentsParser to use them for error and status messages
2025-10-20 13:23:51 +0200 | v0.1.0 | Refactor error handling in CmdArgumentsParser and main to use utility functions for console messages; add Tools.cpp for message implementations.
2025-10-20 13:34:32 +0200 | v0.1.0 | Enhance version info output format and improve variable naming in CmdArgumentsParser
2025-10-20 13:41:39 +0200 | v0.1.0 | Improve version information output format in ArgumentsParserLogicTest
2025-10-20 13:52:22 +0200 | v0.1.0 | Add tests for instruction listing and file name handling in ArgumentsParserLogicTest
2025-10-20 14:04:30 +0200 | v0.1.0 | Implement interface for ArgumentsParserLogic and update CmdArgumentsParser to use it
2025-10-20 14:19:10 +0200 | v0.1.0 | Add support for dependency injection in CmdArgumentsParser and create mock for testing
2025-10-20 14:21:41 +0200 | v0.1.0 | Add mock include directory to CMakeLists for testing
2025-10-20 14:35:33 +0200 | v0.1.0 | Add gmock library to CMakeLists and implement test for argument parsing failure
2025-10-20 15:40:15 +0200 | v0.1.0 | Add test for help option in CmdArgumentsParser
2025-10-20 15:59:34 +0200 | v0.1.0 | Add test for PrintVersionInfo invocation in CmdArgumentsParser
2025-10-20 16:11:13 +0200 | v0.1.0 | Add tests for debug option and input/output file handling in CmdArgumentsParser
2025-10-20 16:13:24 +0200 | v0.1.0 | Add test for valid input and output file handling in CmdArgumentsParser
2025-10-20 16:25:46 +0200 | v0.1.0 | Refactor CmdArgumentsParserTest to use constants for input and output file names; remove unused sample test file
2025-10-20 16:30:03 +0200 | v0.1.0 | Refactor CmdArgumentsParserTest to remove redundant mock instantiation and streamline test setup
2025-10-20 16:33:54 +0200 | v0.1.0 | Refactor CmdArgumentsParserTest to simplify result assertions by removing redundant variable assignments
2025-10-20 16:37:06 +0200 | v0.1.0 | Make BorAsm constructor explicit to prevent implicit conversions
2025-10-20 16:37:36 +0200 | v0.1.0 | Add newline at end of Tools.h and Tools.cpp to comply with coding standards
2025-10-20 17:06:10 +0200 | v0.1.0 | Implement StartProcessing method in BorAsm and update main to handle processing result
2025-10-20 17:24:47 +0200 | v0.1.0 | Add AssemblyEngine class with Assemble method for file processing
2025-10-20 18:06:28 +0200 | v0.1.0 | Add FileHandler class and integrate with AssemblyEngine for file operations
2025-10-20 18:14:12 +0200 | v0.1.0 | Refactor AssemblyEngine::Assemble method to uncomment and organize label processing logic
2025-10-20 18:46:00 +0200 | v0.1.0 | Enhance AssemblyEngine with additional member variables and input file validation
2025-10-20 19:18:37 +0200 | v0.1.0 | Add CharacterStringLineHandler for line processing and integrate with AssemblyEngine
2025-10-20 19:31:45 +0200 | v0.1.0 | Add TokenizeLine method to CharacterStringLineHandler for line tokenization
2025-10-20 19:54:38 +0200 | v0.1.0 | Add InstructionsAssemblerCore class and integrate with AssemblyEngine
2025-10-21 09:34:13 +0200 | v0.1.0 | Add opcode and register mappings, enhance InstructionsAssemblerCore for instruction assembly
2025-10-21 09:43:33 +0200 | v0.1.0 | Add assembly engine initialization and enhance StartProcessing method with logging
2025-10-21 10:03:17 +0200 | v0.1.0 | Enhance CharacterStringLineHandler methods with logging and improve parameter naming for clarity
